name,size(bytes),date_created,date_modified
attribs.py,10112,09-08-2021 06:29 PM,09-08-2021 06:59 PM
automation_flow.py,101,09-08-2021 06:29 PM,09-08-2021 06:53 PM
date_change.py,208,09-08-2021 06:43 PM,09-08-2021 06:59 PM
download_image.py,294,09-08-2021 06:43 PM,09-08-2021 09:39 PM
main.py,2455,09-08-2021 06:29 PM,09-08-2021 09:46 PM
methods.py,15370,09-08-2021 06:29 PM,09-08-2021 09:46 PM
save_csv.py,272,09-08-2021 06:44 PM,09-08-2021 06:59 PM
